     read       raw corrected
       id    length    length
--------- --------- ---------
       23       531       509
       31       552       528
       51       543       515
       52       549       500
       74       546       487
       82       536       517
       83       543       510
       86       537       510
       88       536       509
       90       578       530
      109       547       518
      110       559       531
      118       544       498
      119       568       521
      150       564       510
      151       578       532
      156       564       482
      162       546       510
      177       544       520
      184       537       502
      188       545       512
      215       539       526
      228       552       503
      238       564       547
      250       547       514
      266       547       512
      270       544       532
      288       534       525
      292       542       518
      298       540       529
      310       565       542
      316       548       512
      319       568       562
      324       544       498
      345       552       534
      351       550       520
      355       539       510
      360       552       511
      363       536       507
      364       568       525
      369       547       529
      373       566       542
      381       582       515
      390       572       501
      452       534       519
      457       553       502
      460       545       531
      480       534       517
